City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
333,as sulayyil,SA,97.05,11,7,8.1,20.4607,45.5779,1687027782
334,ataq,YE,83.16,50,75,4.9,14.5377,46.8319,1687027782
335,suva,FJ,71.08,100,75,2.3,-18.1416,178.4415,1687027337
336,florence,IT,77.74,57,0,4.61,43.7667,11.25,1687027782
337,la tijera,MX,87.24,24,43,5.48,19.9,-104.4,1687027782
338,coyhaique,CL,41.61,56,0,4.61,-45.5752,-72.0662,1687027782
339,eyl,SO,79.27,72,1,21.94,7.9803,49.8164,1687027782
340,novoishimskiy,KZ,60.73,91,100,6.2,53.1981,66.7694,1687027390
341,stuttgart,DE,78.4,27,0,4.61,48.7823,9.177,1687027782
342,saynshand,MN,80.26,30,100,17.47,44.8824,110.1163,1687027782
343,hassi messaoud,DZ,100.26,14,0,5.75,31.6804,6.0729,1687027783
344,itaituba,BR,82.56,78,75,8.05,-4.2761,-55.9836,1687027741
345,isangel,VU,69.66,62,1,11.63,-19.55,169.2667,1687027403
346,galveston,US,100.04,73,40,13.8,29.3669,-94.9669,1687027783
347,sisimiut,GL,38.01,62,29,8.43,66.9395,-53.6735,1687027417
348,egilsstadir,IS,75.11,33,0,16.11,65.2653,-14.3948,1687027783
349,weno,FM,78.75,94,100,5.75,7.4515,151.8468,1687027394
350,bertioga,BR,72.01,64,20,8.05,-23.8544,-46.1386,1687027783
351,edson,CA,53.74,66,100,4.61,53.5835,-116.4356,1687027783
352,koungheul,SN,97.66,40,100,3.33,13.9833,-14.8,1687027783
353,cabedelo,BR,81.27,85,97,9.13,-6.9811,-34.8339,1687027605
354,kailua-kona,US,81.28,78,20,4.61,19.6406,-155.9956,1687027375
355,layyah,PK,96.24,35,6,12.57,30.9613,70.939,1687027783
356,koluszki,PL,65.97,100,49,6.55,51.7387,19.8199,1687027784
357,mapimi,MX,93.83,22,7,6.6,25.8167,-103.85,1687027784
358,zhigalovo,RU,51.08,70,69,0.49,54.8097,105.1578,1687027784
359,humaita,BR,82.36,62,100,2.66,-7.5061,-63.0208,1687027784
360,sirte,LY,71.6,81,0,9.89,31.2089,16.5887,1687027784
361,mahalapye,BW,60.82,32,0,6.87,-23.1041,26.8142,1687027784
362,tibati,CM,69.8,92,100,1.88,6.4667,12.6333,1687027784
